Date,High,Low,Open,Close,Volume,Adj Close
2004-08-19 00:00:00,52.08208084,48.02802658,50.05004883,50.22021866,44659000,50.22021866
2004-08-20 00:00:00,54.59459305,50.3003006,50.55555725,54.20920944,22834300,54.20920944
2004-08-23 00:00:00,56.79679489,54.5795784,55.43043137,54.75475311,18256100,54.75475311
2004-08-24 00:00:00,55.85585403,51.83683777,55.67567444,52.48748779,15247300,52.48748779
2004-08-25 00:00:00,54.05405426,51.99199295,52.53253174,53.05305481,9188600,53.05305481
2004-08-26 00:00:00,54.02902985,52.38238144,52.52752686,54.00901031,7094800,54.00901031
2004-08-27 00:00:00,54.36436462,52.89789963,54.10410309,53.12812805,6211700,53.12812805
2004-08-30 00:00:00,52.79779816,51.05605698,52.6926918,51.05605698,5196700,51.05605698
2004-08-31 00:00:00,51.90690613,51.13113022,51.20120239,51.23623657,4917800,51.23623657
2004-09-01 00:00:00,51.53653717,49.88488388,51.40140152,50.17517471,9138200,50.17517471
2004-09-02 00:00:00,51.23623657,49.51951981,49.64464569,50.80580521,15118600,50.80580521
2004-09-03 00:00:00,50.92092133,49.70970917,50.52552414,50.05505371,5152400,50.05505371
2004-09-07 00:00:00,51.05105209,49.85485458,50.55555725,50.84083939,5847500,50.84083939
2004-09-08 00:00:00,51.56656647,50.3003006,50.4204216,51.20120239,4985600,51.20120239
2004-09-09 00:00:00,51.4064064,50.55055237,51.3163147,51.20620728,4061700,51.20620728
2004-09-10 00:00:00,53.33333206,50.70069885,50.85084915,52.71771622,8698800,52.71771622
2004-09-13 00:00:00,54.25925827,53.28328323,53.36837006,53.80380249,7844100,53.80380249
2004-09-14 00:00:00,56.05605698,53.44844818,53.77877808,55.80080032,10828900,55.80080032
2004-09-15 00:00:00,57.17217255,55.15515518,55.33533478,56.05605698,10713000,56.05605698
2004-09-16 00:00:00,57.95795822,55.88088226,56.22622681,57.04204178,9266300,57.04204178
2004-09-17 00:00:00,58.80380249,56.83183289,57.26726913,58.80380249,9472500,58.80380249
2004-09-20 00:00:00,60.86086273,58.4434433,58.533535,59.73973846,10628700,59.73973846
2004-09-21 00:00:00,60.2702713,58.81381226,59.96496582,58.9789772,7228700,58.9789772
2004-09-22 00:00:00,59.89489365,58.46346283,58.75875854,59.2492485,7581200,59.2492485
2004-09-23 00:00:00,61.37637711,58.56856918,59.47948074,60.47047043,8535600,60.47047043
2004-09-24 00:00:00,62.11211395,59.93994141,60.53052902,59.97497559,9123400,59.97497559
